,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
6,BNC34,3,Quattroki Restaurant,15.700921999999998,2.2570339999999995,13.443888,192.955387024554,14.35264761388625,0.6136383684210527,20
7,BNC34,3,High School,10.9718433,2.1529233000000003,8.81892,208.4014510403451,23.631176044271307,0.5485943117647059,18
0,BNC35,1,Automobile shop,151.4562667,9.3266107,142.129656,320.129114026626,2.252373804567753,2.872122896078431,52
1,BNC35,1,Police station ,48.17907030000001,4.3331123,43.845958,203.68497218304583,4.645467483754051,2.0286765782608702,24
2,BNC35,1,Fire Station,77.0609281,2.7640571,74.296871,265.03427813241285,3.5672333782725905,2.314930531249999,33
3,BNC35,1,Bank,43.519655,3.12452,40.395135,164.74866950303664,4.078428491525939,3.0751153333333328,13
4,BNC35,1,Pawn Shop,86.0532154,2.4168174,83.636398,333.6837948346578,3.989695907691503,1.97140026511628,44
5,BNC35,1,Pizzeria,42.1938237,5.5695107,36.624313,156.65177049981824,4.2772616785963535,2.240699205555555,19
6,BNC35,1,Quattroki Restaurant,58.5403784,14.638728400000002,43.90165,197.59287815471808,4.500807558593312,3.012046757894737,20
7,BNC35,1,High School,42.8667197,2.8403187,40.02640100000001,226.18260302966192,5.650835383117805,1.8762894350000008,21
0,BNC35,2,Automobile shop,21.7395867,3.8514627,17.888124,60.46115234852032,3.37996048934591,2.161714966666667,10
1,BNC35,2,Police station ,28.2977789,3.1457989,25.15198,133.2869061296893,5.29926097785102,1.481772761538462,14
2,BNC35,2,Fire Station,22.9994094,4.4724254,18.526984,137.38412037196792,7.415352675425635,1.4703592933333332,16
3,BNC35,2,Bank,14.6668147,2.4240667,12.242748,139.90999071820545,11.427989101646578,1.5235714111111114,10
4,BNC35,2,Pawn Shop,29.4297665,2.1527495,27.277017,130.50694634773333,4.784502145074491,1.8943475666666665,16
5,BNC35,2,Pizzeria,45.07549159999999,4.8473306,40.22816099999999,226.67303603928696,5.634685513943504,1.496995986206897,30
6,BNC35,2,Quattroki Restaurant,24.5064735,3.3612665,21.145207,189.1327250475341,8.944472619612291,1.3398987352941176,18
7,BNC35,2,High School,30.6033829,2.8057629,27.79762,217.0308987871105,7.807535277736385,1.4482858421052631,20
0,BNC35,3,Automobile shop,16.324496699999997,2.6932807,13.631216,62.10167357677711,4.555842529146124,1.5281179699999998,11
1,BNC35,3,Police station ,23.9921818,4.784647800000001,19.207534,122.48237693756,6.376788240362349,2.084556345454546,12
2,BNC35,3,Fire Station,18.075878000000003,3.416781,14.659097,138.67239810612853,9.459818575873296,1.1768169285714287,15
3,BNC35,3,Bank,12.8748525,2.6319645,10.242888,132.197060948136,12.906229273241689,1.2733527499999997,9
4,BNC35,3,Pawn Shop,27.8808961,1.7636821000000005,26.117214,133.00454154129918,5.092600671009518,1.7157309400000005,16
5,BNC35,3,Pizzeria,38.7978379,3.7709019,35.026936,231.9910027901089,6.623217137522645,1.2973869275862069,30
6,BNC35,3,Quattroki Restaurant,25.1588729,3.7984789,21.360394000000003,194.1074052662746,9.087257719416344,1.209310345,21
7,BNC35,3,High School,25.8257571,3.4307101,22.395047,207.3342028409812,9.258038299315968,1.2777223736842105,20
0,BNC36,1,Automobile shop,38.0077467,6.7029077,31.304839,119.87514140605546,3.829284712374833,2.1674736882352943,18
1,BNC36,1,Police station ,31.3462682,8.1872352,23.159033,133.86799856485493,5.780379455603994,2.0984027272727275,12
2,BNC36,1,Fire Station,18.9023178,5.7083238,13.193994,137.25343580258763,10.402720798765532,1.337412061538461,14
3,BNC36,1,Bank,17.228810499999998,3.0203055,14.208505,147.51075079661732,10.381862891037258,1.3778695499999996,11
4,BNC36,1,Pawn Shop,205.1906867,3.5763287000000004,201.614358,962.011219183846,4.7715412172373455,1.516161863432836,135
