Participant,X,Z,Target_Name
BNC37_t3,-0.5831296,2.360468,High School
BNC37_t3,-1.243142,8.934986,High School
BNC37_t3,-1.808862,15.6067,High School
BNC37_t3,-3.18761,8.77861,High School
BNC37_t3,-2.547601,1.955059,High School
BNC37_t3,-1.439772,-4.89689,High School
BNC37_t3,0.2047909,-11.63691,High School
BNC37_t3,1.445381,-18.47502,High School
BNC37_t3,2.31529,-25.38358,High School
BNC37_t3,2.939455,-32.28913,High School
BNC37_t3,3.559654,-39.1858,High School
BNC37_t3,3.904761,-46.0891,High School
BNC37_t3,4.587193,-52.97927,High School
BNC37_t3,11.28379,-53.86559,High School
BNC37_t3,17.92495,-52.56655,High School
BNC37_t3,24.77953,-53.09157,High School
BNC37_t3,31.69448,-53.2944,High School
BNC37_t3,38.64037,-52.87063,High School
BNC37_t3,45.54099,-51.86657,High School
BNC37_t3,52.52253,-51.74906,High School
BNC37_t3,59.47738,-52.30376,High School
BNC37_t3,62.8354,-46.40075,High School
BNC37_t3,65.23049,-40.12616,High School
BNC37_t3,66.32076,-33.51247,High School
BNC37_t3,66.68731,-26.75424,High School
BNC37_t3,67.07436,-20.00095,High School
BNC37_t3,67.55054,-13.20486,High School
BNC37_t3,67.88412,-6.505993,High School
BNC37_t3,68.20496,0.1664452,High School
BNC37_t3,68.3879,6.770726,High School
BNC37_t3,68.55786,13.37716,High School
BNC37_t3,68.61951,19.99836,High School
BNC37_t3,68.67062,26.63101,High School
BNC37_t3,68.72508,33.26794,High School
BNC37_t3,69.30042,39.83195,High School
BNC37_t3,68.47811,46.65366,High School
BNC37_t3,67.48631,53.5069,High School
BNC37_t3,66.02871,60.27234,High School
BNC37_t3,0,-4.1,Mission complete
